word,babylm_freq,babylm_log_freq
abbey,937,6.843749949006225
abbeys,28,3.367295829986474
abbots,41,3.7376696182833684
abbreviations,80,4.394449154672439
abdication,55,4.02535169073515
abductions,16,2.833213344056216
abigail,536,6.285998094508865
abilities,605,6.406879986069314
ability,2386,7.77779262633883
abnormalities,30,3.4339872044851463
abolitionism,12,2.5649493574615367
abolitionist,72,4.290459441148391
abolitionists,58,4.07753744390572
aborigines,111,4.718498871295094
abortion,447,6.104793232414985
abrasion,15,2.772588722239781
abscesses,8,2.1972245773362196
absence,1654,7.411556287811163
absenteeism,11,2.4849066497880004
absolution,53,3.9889840465642745
absolutism,7,2.0794415416798357
absorbers,15,2.772588722239781
absorption,135,4.912654885736052
absorptions,4,1.6094379124341003
abstinence,111,4.718498871295094
abstraction,49,3.912023005428146
abstractions,27,3.332204510175204
absurdism,4,1.6094379124341003
absurdities,17,2.8903717578961645
absurdity,81,4.406719247264253
abundance,471,6.156978985585555
abusers,24,3.2188758248682006
academics,96,4.574710978503383
academies,84,4.442651256490317
acceleration,240,5.484796933490655
accelerator,150,5.017279836814924
accelerators,44,3.8066624897703196
accessibility,47,3.871201010907891
accessories,167,5.123963979403259
accident,5313,8.57810012631976
accidents,774,6.652863029353347
accolades,45,3.828641396489095
accommodation,449,6.1092475827643655
accommodations,126,4.844187086458591
accompaniment,236,5.4680601411351315
accompaniments,31,3.4657359027997265
accomplices,82,4.418840607796598
accomplishment,207,5.337538079701318
accomplishments,225,5.420534999272286
accordion,119,4.787491742782046
accordionist,12,2.5649493574615367
accordions,5,1.791759469228055
accountability,85,4.454347296253507
accountants,91,4.5217885770490405
accoutrements,24,3.2188758248682006
accreditation,35,3.58351893845611
acculturation,13,2.6390573296152584
accumulation,84,4.442651256490317
accusation,272,5.60947179518496
accusations,251,5.529429087511423
acesulfame,2,1.0986122886681098
acetone,22,3.1354942159291497
achievement,629,6.4457198193855785
achievements,456,6.124683390894205
achilles,168,5.1298987149230735
achterhoek,23,3.1780538303479458
acids,407,6.0112671744041615
acoustics,44,3.8066624897703196
acquaintances,340,5.831882477283517
acquiescence,32,3.4965075614664802
acquisitions,72,4.290459441148391
acres,674,6.51471269087253
acrobat,114,4.74493212836325
acrobats,59,4.0943445622221
acronyms,13,2.6390573296152584
activation,103,4.6443908991413725
activists,287,5.662960480135946
activities,1900,7.550135342488429
activity,3887,8.265650165580329
actor,5994,8.698681067461614
actors,1479,7.299797366758161
actress,4469,8.405143687607614
actresses,206,5.332718793265369
actuality,26,3.295836866004329
actuarial,26,3.295836866004329
acupuncture,46,3.8501476017100584
