word1,word2,freq_w1_w2,freq_w2_w1,pos1,pos2,example_sentence
aang,friends,1,0,NOUN,NOUN,Aang and friends visit the Southern Air Temple where the Avatar learns that he was in the ice for 100 years and the Fire Nation killed all the airbenders.
abandon,finesse,0,1,ADJ,VERB,and I have performed it with finesse and abandon with countless partners.
abandoned,bereaved,0,2,VERB,VERB,"It sounded like the mournful cry of one who, looking out of heaven, saw her hapless little daughter bereaved and abandoned, and was moved, even among the blessed, to a sobbing utterance."
abandoned,decrepit,1,0,VERB,ADJ,"It is largely occupied by old warehouses, abandoned and decrepit homes, and large expanses of parking lots, and crime."
abandoned,deserted,3,0,VERB,ADJ,They look for abandoned and deserted places...
abandoned,forgotten,0,1,VERB,VERB,"A 17-year old Andy is packing for college and his toys, who have not been played with in a long time, feel forgotten and abandoned."
abandoned,old,0,3,ADJ,VERB,It's made of the lumber from old and abandoned ships.
abandoned,orphaned,0,1,VERB,ADJ,The park has an area called the Orphanage where orphaned and abandoned animals are looked after.
abandoned,scrapped,1,0,VERB,VERB,"""Knees and Elbows"" has still not been released yet and has most likely been abandoned and scrapped."
abandoned,smashed,0,1,VERB,VERB,"Along roads lined with their smashed and abandoned equipment,"
abandoned,torched,1,0,VERB,VERB,"After Tripoli fail, his old offices were abandoned and torched."
abasement,mortification,1,0,NOUN,NOUN,"Replied Sa’adan, “O my lord, in the sorriest of plights for abasement and mortification; my sons and I, we are bound with ropes like camels.”"
abashed,amarvelled,1,0,VERB,VERB,"And then the bishop called them that were come thither, and read them tofore them all, so that they that heard it were all abashed and amarvelled."
abashed,confounded,1,0,VERB,VERB,"Master Walker had not exhorted in vain, and, abashed and confounded, many of the mutineers believed that they had by their crime brought down the vengeance of Heaven on their heads."
abashed,frightened,0,1,ADJ,VERB,"Her lady reproved him sharply, and the little fellow looked frightened and abashed."
abashed,strange,0,1,ADJ,VERB,Bomba felt strange and abashed.
abate,change,1,0,VERB,NOUN,"When a man, for instance, paddles along the Lagoon in his canoe and an unfavourable wind sets in, he will utter a spell to make it abate and change."
abbey,priory,1,0,NOUN,NOUN,"""I warrant you they be hereabouts, else have the fat priests lied when they denied they were in abbey and priory."""
abbots,bishops,0,2,NOUN,NOUN,"There, on that little hill, lay bishops and abbots in their sacerdotal apparel."
abbreviations,codes,0,2,NOUN,NOUN,"Several sets of codes and abbreviations are used to represent the political divisions of the United States for addresses, data processing, general abbreviations, and other purposes."
abdicated,retired,1,0,VERB,VERB,"Finally, in 305, the two senior emperors abdicated and retired, and the two juniors rose to the rank of ""Augustus""."
abdicating,delegating,0,1,VERB,VERB,What's the difference between delegating and abdicating?
